product_id,product_name,product_category,product_subcategory,brand,unit_price,cost,active_flag
P000056,Evervale Storage Impedit,home,storage,Evervale,28.2,12.21,True
P000057,Lakeview Audio Sunt,electronics,audio,Lakeview,299.27,163.07,True
P000058,Cedar Works Cleaning Sit,home,cleaning,Cedar Works,23.19,15.54,True
P000059,Northline Cycling Magni,sporting_goods,cycling,Northline,100.49,69.42,False
P000060,Summit House Beverages Repellat,grocery,beverages,Summit House,16.02,10.47,True
P000061,Cedar Works Bedding Earum,home,bedding,Cedar Works,84.42,47.17,True
P000062,Harbour Goods Haircare Voluptatibus,beauty,haircare,Harbour Goods,22.23,12.52,True
P000063,Trueleaf Audio Atque,electronics,audio,TrueLeaf,182.12,94.38,True
P000064,Harbour Goods Snacks Aperiam,grocery,snacks,Harbour Goods,28.08,19.51,True
P000065,Cedar Works Computers Ut,electronics,computers,Cedar Works,337.23,207.66,True
P000066,Brightnest Storage Eum,home,storage,BrightNest,28.54,18.28,True
P000067,Evervale Beverages Illum,grocery,beverages,Evervale,16.15,9.76,True
P000068,Northline Beverages Beatae,grocery,beverages,Northline,7.71,3.56,True
P000069,Brightnest Beverages Eveniet,grocery,beverages,BrightNest,20.84,13.72,True
P000070,Brightnest Smart Home Consequuntur,electronics,smart_home,BrightNest,62.19,37.62,True
P000071,Cedar Works Skincare Modi,beauty,skincare,Cedar Works,10.31,5.95,True
P000072,Urban Trail Beverages Hic,grocery,beverages,Urban Trail,6.18,4.32,True
P000073,Northline Footwear Odit,apparel,footwear,Northline,39.09,21.32,True
P000074,Trueleaf Makeup Tempora,beauty,makeup,TrueLeaf,28.31,18.37,True
P000075,Harbour Goods Computers Maiores,electronics,computers,Harbour Goods,89.41,41.52,True
P000076,Trueleaf Storage Dolorem,home,storage,TrueLeaf,84.84,49.71,True
P000077,Urban Trail Household Maxime,grocery,household,Urban Trail,15.72,11.26,True
P000078,Northline Team Sports Libero,sporting_goods,team_sports,Northline,217.07,132.65,True
P000079,Fieldstone Skincare Eos,beauty,skincare,Fieldstone,26.93,14.98,True
P000080,Urban Trail Gaming Velit,electronics,gaming,Urban Trail,57.06,29.13,True
P000081,Northline Beverages Fugiat,grocery,beverages,Northline,5.53,3.78,True
P000082,Northline Pantry Voluptates,grocery,pantry,Northline,16.65,7.44,True
P000083,Lakeview Bottoms Vero,apparel,bottoms,Lakeview,30.54,19.95,True
P000084,Brightnest Outdoor Tenetur,sporting_goods,outdoor,BrightNest,52.13,21.98,True
P000085,Summit House Personal Care Aut,beauty,personal_care,Summit House,14.26,9.62,True
P000086,Canopy Co. Pet Sequi,grocery,pet,Canopy Co.,17.1,10.76,True
P000087,Lakeview Outerwear Tempora,apparel,outerwear,Lakeview,60.89,37.08,True
P000088,Fieldstone Accessories Dolores,apparel,accessories,Fieldstone,22.21,11.13,True
P000089,Brightnest Cycling Quibusdam,sporting_goods,cycling,BrightNest,74.89,45.3,True
P000090,Fieldstone Beverages Exercitationem,grocery,beverages,Fieldstone,23.75,10.63,True
P000091,Urban Trail Team Sports Dolorem,sporting_goods,team_sports,Urban Trail,76.35,46.64,True
P000092,Canopy Co. Bottoms Officiis,apparel,bottoms,Canopy Co.,28.38,16.84,True
P000093,Canopy Co. Fragrance Modi,beauty,fragrance,Canopy Co.,30.06,17.21,True
P000094,Northline Kitchen Fugit,home,kitchen,Northline,41.88,21.08,True
P000095,Brightnest Storage Tempore,home,storage,BrightNest,39.93,21.7,True
P000096,Brightnest Accessories Voluptas,apparel,accessories,BrightNest,20.03,8.63,True
P000097,Lakeview Kitchen Quos,home,kitchen,Lakeview,25.0,14.74,True
P000098,Brightnest Fragrance Est,beauty,fragrance,BrightNest,33.04,21.68,True
P000099,Brightnest Decor Vitae,home,decor,BrightNest,148.24,85.06,True
P000100,Canopy Co. Pantry Itaque,grocery,pantry,Canopy Co.,15.25,8.78,True
P000101,Evervale Computers Aspernatur,electronics,computers,Evervale,158.52,106.62,True
P000102,Trueleaf Computers Eum,electronics,computers,TrueLeaf,80.15,41.21,True
P000103,Summit House Outerwear Aliquid,apparel,outerwear,Summit House,16.9,8.98,True
P000104,Northline Makeup Ipsam,beauty,makeup,Northline,7.88,5.57,False
P000105,Harbour Goods Beverages Natus,grocery,beverages,Harbour Goods,19.28,12.18,True
P000106,Maple & Main Haircare Fugiat,beauty,haircare,Maple & Main,35.39,20.44,True
P000107,Evervale Outerwear At,apparel,outerwear,Evervale,68.93,40.44,True
P000108,Northline Cycling Error,sporting_goods,cycling,Northline,130.6,70.23,True
P000109,Urban Trail Pantry Reiciendis,grocery,pantry,Urban Trail,31.63,14.71,True
P000110,Maple & Main Winter Sports Ipsam,sporting_goods,winter_sports,Maple & Main,25.5,12.95,True
P000111,Urban Trail Makeup Error,beauty,makeup,Urban Trail,18.83,9.28,True
P000112,Brightnest Fragrance Ullam,beauty,fragrance,BrightNest,23.3,15.12,True
P000113,Cedar Works Smart Home Praesentium,electronics,smart_home,Cedar Works,158.2,106.52,True
P000114,Evervale Household Nam,grocery,household,Evervale,15.04,10.42,True
P000115,Trueleaf Snacks Temporibus,grocery,snacks,TrueLeaf,10.49,5.66,True
P000116,Lakeview Haircare Officia,beauty,haircare,Lakeview,36.97,17.65,True
P000117,Urban Trail Cycling Dicta,sporting_goods,cycling,Urban Trail,66.91,40.12,True
P000118,Fieldstone Mobile Accessories Fuga,electronics,mobile_accessories,Fieldstone,113.62,81.19,True
P000119,Summit House Cleaning Deserunt,home,cleaning,Summit House,48.51,30.86,False
P000120,Evervale Beverages Expedita,grocery,beverages,Evervale,21.57,13.8,True
P000121,Brightnest Personal Care Ratione,beauty,personal_care,BrightNest,49.13,35.15,True
P000122,Fieldstone Pet Quidem,grocery,pet,Fieldstone,12.93,5.91,True
P000123,Urban Trail Pet Fuga,grocery,pet,Urban Trail,22.55,12.62,False
P000124,Summit House Kitchen Reprehenderit,home,kitchen,Summit House,76.49,44.87,True
P000125,Summit House Team Sports Nobis,sporting_goods,team_sports,Summit House,77.2,41.06,True
P000126,Fieldstone Accessories Reprehenderit,apparel,accessories,Fieldstone,17.45,11.38,True
P000127,Summit House Snacks Natus,grocery,snacks,Summit House,17.44,8.55,True
P000128,Maple & Main Beverages Magni,grocery,beverages,Maple & Main,17.65,11.0,True
P000129,Evervale Storage Est,home,storage,Evervale,79.94,39.28,True
P000130,Evervale Smart Home Deserunt,electronics,smart_home,Evervale,74.91,44.73,True
P000131,Evervale Computers Quaerat,electronics,computers,Evervale,45.63,20.33,True
P000132,Summit House Beverages Possimus,grocery,beverages,Summit House,39.4,20.05,True
P000133,Cedar Works Tops Consectetur,apparel,tops,Cedar Works,15.2,8.17,True
P000134,Northline Bedding Architecto,home,bedding,Northline,93.13,40.99,True
P000135,Urban Trail Bottoms Culpa,apparel,bottoms,Urban Trail,35.87,18.76,True
P000136,Summit House Winter Sports Dolor,sporting_goods,winter_sports,Summit House,36.73,18.56,True
P000137,Harbour Goods Computers Sunt,electronics,computers,Harbour Goods,139.41,80.7,True
P000138,Brightnest Makeup Dolore,beauty,makeup,BrightNest,19.38,9.54,True
P000139,Evervale Bottoms Vero,apparel,bottoms,Evervale,39.38,23.17,True
P000140,Urban Trail Household Nisi,grocery,household,Urban Trail,20.72,14.89,True
P000141,Evervale Household Saepe,grocery,household,Evervale,12.86,6.12,True
P000142,Brightnest Outerwear At,apparel,outerwear,BrightNest,27.35,15.7,True
P000143,Canopy Co. Accessories Molestiae,apparel,accessories,Canopy Co.,22.83,9.87,True
P000144,Urban Trail Accessories Modi,apparel,accessories,Urban Trail,30.25,15.54,True
P000145,Trueleaf Footwear Saepe,apparel,footwear,TrueLeaf,53.1,33.42,True
P000146,Trueleaf Computers Omnis,electronics,computers,TrueLeaf,156.53,65.82,True
P000147,Maple & Main Pantry Quia,grocery,pantry,Maple & Main,14.23,8.06,True
P000148,Summit House Decor Explicabo,home,decor,Summit House,24.26,12.08,True
P000149,Urban Trail Gaming Quod,electronics,gaming,Urban Trail,52.14,25.47,True
P000150,Maple & Main Team Sports Accusamus,sporting_goods,team_sports,Maple & Main,32.6,20.65,True
P000151,Northline Bottoms Vero,apparel,bottoms,Northline,37.53,15.87,True
P000152,Northline Tops Cum,apparel,tops,Northline,12.05,5.93,True
P000153,Evervale Makeup Vero,beauty,makeup,Evervale,26.83,18.14,True
P000154,Summit House Accessories Quidem,apparel,accessories,Summit House,22.16,11.0,True
P000155,Brightnest Cleaning Fugiat,home,cleaning,BrightNest,98.75,52.19,True
P000156,Summit House Computers Temporibus,electronics,computers,Summit House,135.61,65.76,True
P000157,Maple & Main Gaming Laboriosam,electronics,gaming,Maple & Main,126.29,66.17,True
P000158,Fieldstone Footwear Culpa,apparel,footwear,Fieldstone,70.58,45.29,True
P000159,Brightnest Fitness Impedit,sporting_goods,fitness,BrightNest,60.74,28.13,True
P000160,Cedar Works Footwear Nostrum,apparel,footwear,Cedar Works,18.43,7.76,True
P000161,Brightnest Team Sports Dolore,sporting_goods,team_sports,BrightNest,60.72,41.85,True
P000162,Brightnest Kitchen Odit,home,kitchen,BrightNest,37.5,16.32,True
P000163,Brightnest Audio A,electronics,audio,BrightNest,28.48,12.12,True
P000164,Evervale Gaming Fuga,electronics,gaming,Evervale,102.23,61.67,True
P000165,Fieldstone Storage Provident,home,storage,Fieldstone,76.99,45.43,True
P000166,Urban Trail Fitness Dolorum,sporting_goods,fitness,Urban Trail,68.0,28.81,True
P000167,Trueleaf Decor Quae,home,decor,TrueLeaf,29.55,20.3,True
P000168,Northline Beverages Corrupti,grocery,beverages,Northline,9.37,4.44,True
P000169,Evervale Pet Sunt,grocery,pet,Evervale,9.27,5.2,True
P000170,Trueleaf Household In,grocery,household,TrueLeaf,14.84,9.53,True
P000171,Cedar Works Pet Tempore,grocery,pet,Cedar Works,9.42,6.51,True
P000172,Northline Beverages Quae,grocery,beverages,Northline,29.74,19.12,True
P000173,Trueleaf Winter Sports Sequi,sporting_goods,winter_sports,TrueLeaf,158.31,108.64,True
P000174,Brightnest Audio Eius,electronics,audio,BrightNest,180.53,97.98,True
P000175,Urban Trail Team Sports Dolor,sporting_goods,team_sports,Urban Trail,99.46,53.03,True
P000176,Northline Bottoms Minima,apparel,bottoms,Northline,40.09,20.92,True
P000177,Northline Mobile Accessories Dolorem,electronics,mobile_accessories,Northline,95.5,65.35,True
P000178,Lakeview Accessories Quis,apparel,accessories,Lakeview,27.57,15.46,True
P000179,Urban Trail Tops Quia,apparel,tops,Urban Trail,45.88,28.25,True
P000180,Harbour Goods Bottoms A,apparel,bottoms,Harbour Goods,29.98,19.47,True
P000181,Canopy Co. Fitness Sapiente,sporting_goods,fitness,Canopy Co.,32.75,23.12,True
P000182,Harbour Goods Accessories Iste,apparel,accessories,Harbour Goods,27.27,12.25,True
P000183,Cedar Works Fragrance Porro,beauty,fragrance,Cedar Works,21.9,10.86,True
P000184,Brightnest Snacks Ad,grocery,snacks,BrightNest,10.61,5.4,True
P000185,Summit House Kitchen Culpa,home,kitchen,Summit House,37.57,18.11,True
P000186,Evervale Bottoms Magni,apparel,bottoms,Evervale,18.64,9.31,True
P000187,Trueleaf Footwear Inventore,apparel,footwear,TrueLeaf,42.52,20.99,True
P000188,Evervale Beverages Excepturi,grocery,beverages,Evervale,10.14,5.87,True
P000189,Northline Audio Aspernatur,electronics,audio,Northline,54.22,37.22,True
P000190,Urban Trail Bedding Excepturi,home,bedding,Urban Trail,37.16,21.59,True
P000191,Northline Bottoms Reiciendis,apparel,bottoms,Northline,40.52,22.88,True
P000192,Cedar Works Bottoms Beatae,apparel,bottoms,Cedar Works,19.73,9.78,True
P000193,Canopy Co. Tops Blanditiis,apparel,tops,Canopy Co.,49.35,29.73,True
P000194,Cedar Works Decor Placeat,home,decor,Cedar Works,47.84,34.28,True
P000195,Urban Trail Snacks Atque,grocery,snacks,Urban Trail,19.17,13.35,True
P000196,Trueleaf Accessories Quibusdam,apparel,accessories,TrueLeaf,26.63,16.16,True
P000197,Lakeview Pet Debitis,grocery,pet,Lakeview,16.59,9.15,True
P000198,Canopy Co. Outerwear Debitis,apparel,outerwear,Canopy Co.,29.51,12.95,True
P000199,Northline Outerwear Unde,apparel,outerwear,Northline,31.57,16.98,True
P000200,Fieldstone Computers Pariatur,electronics,computers,Fieldstone,215.57,133.22,True
P000201,Canopy Co. Storage Quo,home,storage,Canopy Co.,18.81,8.9,True
P000202,Maple & Main Beverages Doloremque,grocery,beverages,Maple & Main,8.32,5.72,True
P000203,Cedar Works Team Sports Fuga,sporting_goods,team_sports,Cedar Works,46.27,23.63,True
P000204,Fieldstone Smart Home Quia,electronics,smart_home,Fieldstone,92.13,54.22,True
P000205,Evervale Storage Sequi,home,storage,Evervale,61.06,37.5,True
P000206,Urban Trail Decor Nisi,home,decor,Urban Trail,40.51,18.13,True
P000207,Brightnest Makeup Error,beauty,makeup,BrightNest,30.01,15.54,True
P000208,Evervale Pet Quis,grocery,pet,Evervale,9.77,6.06,True
P000209,Northline Smart Home Voluptas,electronics,smart_home,Northline,153.51,95.55,True
P000210,Cedar Works Accessories Eligendi,apparel,accessories,Cedar Works,12.83,9.05,True
P000211,Brightnest Audio Ipsa,electronics,audio,BrightNest,206.82,147.43,True
P000212,Maple & Main Beverages Natus,grocery,beverages,Maple & Main,12.33,8.42,True
P000213,Canopy Co. Kitchen Velit,home,kitchen,Canopy Co.,56.75,29.32,True
P000214,Brightnest Decor Totam,home,decor,BrightNest,27.63,13.63,True
P000215,Evervale Outdoor Minima,sporting_goods,outdoor,Evervale,76.76,49.39,True
P000216,Urban Trail Pantry Nulla,grocery,pantry,Urban Trail,8.42,4.14,True
P000217,Harbour Goods Audio Quas,electronics,audio,Harbour Goods,135.82,73.75,True
P000218,Evervale Snacks Odio,grocery,snacks,Evervale,11.71,4.94,True
P000219,Evervale Pantry Cumque,grocery,pantry,Evervale,15.11,9.85,True
P000220,Canopy Co. Decor Expedita,home,decor,Canopy Co.,25.62,11.95,True
P000221,Canopy Co. Personal Care Et,beauty,personal_care,Canopy Co.,45.79,20.19,True
P000222,Harbour Goods Snacks At,grocery,snacks,Harbour Goods,16.44,10.18,True
P000223,Lakeview Beverages Labore,grocery,beverages,Lakeview,13.81,8.09,True
P000224,Brightnest Household Adipisci,grocery,household,BrightNest,11.64,8.38,True
P000225,Fieldstone Footwear Repudiandae,apparel,footwear,Fieldstone,51.32,26.46,True
P000226,Maple & Main Bedding Quod,home,bedding,Maple & Main,52.45,27.59,True
P000227,Summit House Pet Eum,grocery,pet,Summit House,28.12,14.52,True
P000228,Urban Trail Pantry Repudiandae,grocery,pantry,Urban Trail,14.04,6.5,True
P000229,Northline Bottoms Est,apparel,bottoms,Northline,38.8,17.08,True
P000230,Urban Trail Tops Ab,apparel,tops,Urban Trail,29.78,12.82,True
P000231,Lakeview Snacks Aut,grocery,snacks,Lakeview,14.02,9.51,True
P000232,Summit House Decor Voluptatum,home,decor,Summit House,80.71,43.45,True
P000233,Summit House Audio Suscipit,electronics,audio,Summit House,93.49,60.31,True
P000234,Lakeview Decor Assumenda,home,decor,Lakeview,30.83,19.9,True
P000235,Lakeview Bottoms Eum,apparel,bottoms,Lakeview,52.38,34.94,True
P000236,Northline Winter Sports Atque,sporting_goods,winter_sports,Northline,44.31,24.57,True
P000237,Canopy Co. Pet Aliquid,grocery,pet,Canopy Co.,5.19,2.48,True
P000238,Harbour Goods Personal Care Iure,beauty,personal_care,Harbour Goods,14.11,8.33,True
P000239,Fieldstone Snacks Aut,grocery,snacks,Fieldstone,13.0,5.65,True
P000240,Harbour Goods Storage Quam,home,storage,Harbour Goods,24.56,15.9,True
P000241,Trueleaf Skincare Ex,beauty,skincare,TrueLeaf,29.86,17.22,True
P000242,Fieldstone Makeup Hic,beauty,makeup,Fieldstone,33.22,13.96,True
P000243,Brightnest Cycling Velit,sporting_goods,cycling,BrightNest,84.53,58.08,True
P000244,Canopy Co. Cleaning Placeat,home,cleaning,Canopy Co.,58.85,28.52,True
P000245,Fieldstone Bottoms Error,apparel,bottoms,Fieldstone,64.6,29.05,True
P000246,Lakeview Decor Quis,home,decor,Lakeview,38.43,26.06,True
P000247,Maple & Main Audio Delectus,electronics,audio,Maple & Main,491.34,245.4,True
P000248,Evervale Accessories Rem,apparel,accessories,Evervale,24.02,10.81,True
P000249,Brightnest Outerwear Repellat,apparel,outerwear,BrightNest,19.34,13.07,True
P000250,Cedar Works Household Pariatur,grocery,household,Cedar Works,22.25,9.64,True
P000251,Canopy Co. Computers Exercitationem,electronics,computers,Canopy Co.,147.18,97.41,True
P000252,Urban Trail Outdoor Pariatur,sporting_goods,outdoor,Urban Trail,63.28,34.12,True
P000253,Harbour Goods Footwear Nemo,apparel,footwear,Harbour Goods,43.74,19.72,True
P000254,Trueleaf Fragrance Eaque,beauty,fragrance,TrueLeaf,20.86,11.46,True
P000255,Canopy Co. Winter Sports Consequatur,sporting_goods,winter_sports,Canopy Co.,54.91,28.48,True
P000256,Urban Trail Haircare Consequatur,beauty,haircare,Urban Trail,29.1,17.06,True
P000257,Trueleaf Mobile Accessories Unde,electronics,mobile_accessories,TrueLeaf,336.22,157.96,True
P000258,Lakeview Cleaning Non,home,cleaning,Lakeview,32.34,20.92,True
P000259,Canopy Co. Pet Libero,grocery,pet,Canopy Co.,20.96,13.01,True
P000260,Trueleaf Winter Sports Nisi,sporting_goods,winter_sports,TrueLeaf,74.08,43.98,True
P000261,Fieldstone Accessories Neque,apparel,accessories,Fieldstone,39.0,16.69,True
P000262,Urban Trail Snacks Omnis,grocery,snacks,Urban Trail,22.38,9.44,True
P000263,Evervale Gaming Asperiores,electronics,gaming,Evervale,404.42,238.42,True
P000264,Summit House Outerwear Veniam,apparel,outerwear,Summit House,12.7,7.38,False
P000265,Evervale Cycling Ullam,sporting_goods,cycling,Evervale,31.93,19.1,True
P000266,Northline Kitchen Tenetur,home,kitchen,Northline,54.99,31.04,True
P000267,Brightnest Cycling Consequuntur,sporting_goods,cycling,BrightNest,118.88,63.12,True
P000268,Summit House Accessories Assumenda,apparel,accessories,Summit House,24.44,12.35,True
P000269,Maple & Main Pantry Necessitatibus,grocery,pantry,Maple & Main,18.53,10.36,True
P000270,Fieldstone Footwear Labore,apparel,footwear,Fieldstone,32.79,19.86,True
P000271,Cedar Works Cleaning Corrupti,home,cleaning,Cedar Works,18.28,8.44,True
P000272,Northline Mobile Accessories Expedita,electronics,mobile_accessories,Northline,183.75,99.5,True
P000273,Maple & Main Outdoor Earum,sporting_goods,outdoor,Maple & Main,86.65,59.04,True
P000274,Urban Trail Kitchen Eaque,home,kitchen,Urban Trail,50.38,29.24,False
P000275,Maple & Main Cycling Quidem,sporting_goods,cycling,Maple & Main,40.34,20.59,True
P000276,Canopy Co. Bottoms Occaecati,apparel,bottoms,Canopy Co.,18.52,8.43,True
P000277,Northline Pet Deserunt,grocery,pet,Northline,13.21,9.17,True
P000278,Urban Trail Storage Nisi,home,storage,Urban Trail,63.95,45.45,True
P000279,Harbour Goods Outerwear Ducimus,apparel,outerwear,Harbour Goods,19.94,8.94,True
P000280,Summit House Beverages Hic,grocery,beverages,Summit House,22.72,15.28,True
P000281,Summit House Accessories Officiis,apparel,accessories,Summit House,42.53,24.8,True
P000282,Fieldstone Team Sports Expedita,sporting_goods,team_sports,Fieldstone,12.47,6.94,True
P000283,Trueleaf Mobile Accessories Autem,electronics,mobile_accessories,TrueLeaf,238.44,105.69,True
P000284,Canopy Co. Kitchen Numquam,home,kitchen,Canopy Co.,84.66,36.45,True
P000285,Canopy Co. Bottoms Quo,apparel,bottoms,Canopy Co.,43.43,24.96,True
P000286,Lakeview Fitness Consequuntur,sporting_goods,fitness,Lakeview,50.49,23.53,True
P000287,Cedar Works Tops Architecto,apparel,tops,Cedar Works,37.16,21.59,True
P000288,Summit House Outerwear Totam,apparel,outerwear,Summit House,90.32,61.35,True
P000289,Northline Mobile Accessories Quis,electronics,mobile_accessories,Northline,473.66,261.15,True
P000290,Summit House Bedding Accusantium,home,bedding,Summit House,36.43,17.3,True
P000291,Fieldstone Skincare Consectetur,beauty,skincare,Fieldstone,35.87,17.52,True
P000292,Canopy Co. Footwear Ex,apparel,footwear,Canopy Co.,21.8,9.86,True
P000293,Cedar Works Kitchen Doloremque,home,kitchen,Cedar Works,32.46,23.32,True
P000294,Urban Trail Cleaning Nemo,home,cleaning,Urban Trail,48.44,28.96,True
P000295,Maple & Main Makeup Placeat,beauty,makeup,Maple & Main,65.39,36.66,True
P000296,Maple & Main Storage Perspiciatis,home,storage,Maple & Main,52.19,32.07,True
P000297,Brightnest Decor Error,home,decor,BrightNest,127.71,77.82,True
P000298,Fieldstone Makeup Natus,beauty,makeup,Fieldstone,19.3,10.25,True
P000299,Cedar Works Snacks Assumenda,grocery,snacks,Cedar Works,8.77,4.89,True
P000300,Northline Snacks Doloremque,grocery,snacks,Northline,25.95,15.78,True
P000301,Harbour Goods Cycling Modi,sporting_goods,cycling,Harbour Goods,191.1,135.07,True
P000302,Harbour Goods Bottoms A,apparel,bottoms,Harbour Goods,42.67,29.22,True
P000303,Lakeview Pet Molestias,grocery,pet,Lakeview,23.22,13.09,True
P000304,Harbour Goods Audio Fuga,electronics,audio,Harbour Goods,97.92,57.29,True
P000305,Urban Trail Outerwear Odit,apparel,outerwear,Urban Trail,38.29,24.68,True
P000306,Summit House Decor Illo,home,decor,Summit House,29.6,15.63,True
P000307,Trueleaf Bedding Nisi,home,bedding,TrueLeaf,14.1,9.1,True
P000308,Northline Audio Voluptatem,electronics,audio,Northline,146.01,74.6,True
P000309,Summit House Computers Quos,electronics,computers,Summit House,60.32,34.34,True
P000310,Canopy Co. Household Ut,grocery,household,Canopy Co.,4.99,3.43,True
P000311,Urban Trail Snacks Placeat,grocery,snacks,Urban Trail,26.82,11.39,True
P000312,Trueleaf Decor Dolor,home,decor,TrueLeaf,47.21,27.65,True
P000313,Lakeview Footwear Eaque,apparel,footwear,Lakeview,46.39,31.29,False
P000314,Evervale Pantry Impedit,grocery,pantry,Evervale,22.83,12.34,True
P000315,Canopy Co. Makeup Esse,beauty,makeup,Canopy Co.,12.65,7.43,True
P000316,Lakeview Bottoms Aspernatur,apparel,bottoms,Lakeview,23.9,16.85,True
P000317,Fieldstone Pantry Repellendus,grocery,pantry,Fieldstone,11.27,5.33,True
P000318,Evervale Gaming Quis,electronics,gaming,Evervale,109.72,68.39,True
P000319,Harbour Goods Gaming Assumenda,electronics,gaming,Harbour Goods,44.06,22.0,True
P000320,Harbour Goods Storage Ipsam,home,storage,Harbour Goods,36.24,23.61,True
P000321,Lakeview Pet Aspernatur,grocery,pet,Lakeview,15.85,9.37,False
P000322,Lakeview Bottoms Architecto,apparel,bottoms,Lakeview,30.91,20.49,True
P000323,Fieldstone Bedding Reprehenderit,home,bedding,Fieldstone,12.53,5.97,True
P000324,Urban Trail Decor Perferendis,home,decor,Urban Trail,19.99,12.24,True
